时间,交通量,平均车速(km/h),主线密度(veh/km),主线平均车速(km/h),进口道密度(veh/km),进口道平均车速(km/h)
0,2,54.0,5.0,54.0,0.0,0
1,3,66.0,7.5,66.0,0.0,0
2,6,57.0,15.0,57.0,0.0,0
3,8,56.25,20.0,56.25,0.0,0
4,9,62.0,22.5,62.0,0.0,0
5,9,58.0,22.5,58.0,0.0,0
6,9,62.0,22.5,62.0,0.0,0
7,9,66.0,22.5,66.0,0.0,0
8,10,63.0,25.0,63.0,0.0,0
9,14,61.71,32.5,62.31,4.55,54.0
10,17,57.18,37.5,55.2,9.09,72.0
11,19,59.68,42.5,59.29,9.09,63.0
12,22,57.27,47.5,56.84,13.64,60.0
13,25,57.6,52.5,58.29,18.18,54.0
14,28,57.86,57.5,61.04,22.73,43.2
15,30,57.0,62.5,60.48,22.73,39.6
16,34,55.06,67.5,58.67,31.82,41.14
17,36,53.0,72.5,58.97,31.82,28.29
18,40,53.55,77.5,61.55,40.91,26.0
19,42,51.43,82.5,58.36,40.91,26.0
20,45,51.6,87.5,60.69,45.45,19.8
21,45,54.4,87.5,59.66,45.45,36.0
22,44,52.36,85.0,58.76,45.45,30.6
23,44,52.36,85.0,58.24,45.45,32.4
24,43,50.65,82.5,57.82,45.45,27.0
25,44,49.5,85.0,57.71,45.45,21.6
26,44,49.09,85.0,57.71,45.45,19.8
27,43,48.14,85.0,57.71,40.91,12.0
28,42,47.14,82.5,56.73,40.91,12.0
29,41,47.41,80.0,57.94,40.91,10.0
30,43,48.98,87.5,57.09,36.36,13.5
31,43,51.07,87.5,55.03,36.36,33.75
32,42,53.57,85.0,57.18,36.36,38.25
33,45,48.4,97.5,53.54,27.27,15.0
34,45,50.4,102.5,54.0,18.18,13.5
35,46,52.04,105.0,56.57,18.18,4.5
36,46,51.65,105.0,55.29,18.18,13.5
37,48,49.5,105.0,51.43,27.27,36.0
38,48,51.0,105.0,54.0,27.27,30.0
39,50,50.04,110.0,52.77,27.27,30.0
40,51,50.82,110.0,54.0,31.82,30.86
41,50,51.84,107.5,56.09,31.82,25.71
42,52,48.81,112.5,52.4,31.82,25.71
43,52,51.58,110.0,55.23,36.36,31.5
44,53,50.6,110.0,54.82,40.91,30.0
45,53,50.26,117.5,54.38,27.27,18.0
46,50,51.12,110.0,55.23,27.27,21.0
47,48,52.5,105.0,58.71,27.27,9.0
48,49,50.33,107.5,56.09,27.27,9.0
49,47,48.26,102.5,55.32,27.27,0.0
50,47,50.55,102.5,56.2,27.27,12.0
51,48,54.0,105.0,57.0,27.27,33.0
52,48,53.62,105.0,56.57,27.27,33.0
53,46,53.22,100.0,56.7,27.27,30.0
54,45,47.6,102.5,51.8,18.18,4.5
55,46,47.74,107.5,51.07,13.64,0.0
56,45,50.8,105.0,54.43,13.64,0.0
57,45,49.6,105.0,53.14,13.64,0.0
58,44,43.77,102.5,46.98,13.64,0.0
59,44,43.36,102.5,46.54,13.64,0.0
